City,Max Temperature,Latitude,Longitude,Humidity,Cloud %,Wind Speed,Country
taoudenni,99.48,22.6783,-3.9836,10,2,11.74,ML
brewster,77.25,41.3973,-73.6171,82,1,0.0,US
morristown,71.74,36.214,-83.2949,70,37,1.99,US
urumqi,76.15,43.801,87.6005,36,0,0.0,CN
konstantinovka,66.31,49.6167,127.9833,89,100,11.56,RU
peque,66.2,7.0212,-75.9093,98,100,1.05,CO
platonovka,66.4,52.7106,41.952,37,91,9.55,RU
sampit,83.39,-2.5333,112.95,81,57,3.09,ID
rio grande,59.81,-32.035,-52.0986,87,3,10.69,BR
kazachka,64.99,53.3644,38.0694,69,99,2.06,RU
lanzhou,70.88,36.0564,103.7922,55,100,6.85,CN
bima,88.18,-8.4667,118.7167,52,58,4.68,ID
mezhdurechensk,67.87,53.6942,88.0603,65,45,2.13,RU
thai binh,89.6,20.45,106.3333,63,91,4.88,VN
lata,60.82,40.1629,-8.3327,98,24,2.59,PT
camacupa,54.16,-12.0167,17.4833,23,7,4.79,AO
ukiah,96.69,39.1502,-123.2078,23,1,11.5,US
kurilsk,59.85,45.2333,147.8833,80,100,10.56,RU
hamilton,80.1,39.1834,-84.5333,68,1,0.0,US
riyadh,89.74,24.6877,46.7219,16,9,5.5,SA
luderitz,59.77,-26.6481,15.1594,47,13,4.43,NA
glarus,59.88,47.0406,9.068,63,100,2.51,CH
wagar,81.63,16.1525,36.2032,70,99,13.65,SD
dunedin,45.81,-45.8742,170.5036,59,91,11.05,NZ
chiradzulu,53.73,-15.6746,35.1407,78,0,3.56,MW
ankola,78.8,14.6667,74.3,86,91,2.24,IN
bathsheba,79.41,13.2167,-59.5167,89,40,8.05,BB
kingisepp,55.81,59.3733,28.6134,98,23,5.01,RU
mangrol,81.48,21.1167,70.1167,78,100,9.01,IN
cabra,72.84,37.4725,-4.4421,64,0,2.57,ES
kununurra,76.98,-15.7667,128.7333,19,1,11.5,AU
saint-augustin,63.61,51.226,-58.6502,95,100,4.03,CA
tailai,80.04,46.3833,123.4,61,33,2.35,CN
chuchkovo,65.23,54.2693,41.4465,46,100,8.3,RU
alta floresta,74.73,-9.8756,-56.0861,38,12,2.08,BR
mareeba,72.45,-17.0,145.4333,72,68,8.39,AU
nicoya,72.95,10.1483,-85.452,91,100,1.83,CR
lamar,86.16,33.6668,-95.5836,62,1,10.36,US
mnogovershinnyy,58.1,53.9353,139.9242,55,29,7.72,RU
uzhur,64.99,55.3036,89.8339,81,100,3.83,RU
losinyy,55.15,57.1386,61.0666,76,100,9.73,RU
paramonga,63.48,-10.6667,-77.8333,82,83,10.45,PE
bac lieu,86.81,9.285,105.7244,67,99,13.98,VN
selma,101.03,36.5708,-119.6121,24,1,5.75,US
buala,82.98,-8.145,159.5921,70,86,4.23,SB
sakaiminato,87.78,35.55,133.2333,74,75,6.91,JP
marau,57.87,-28.4492,-52.2,86,0,5.41,BR
kulu,65.71,39.0951,33.0799,65,29,6.26,TR
krasnozerskoye,71.29,53.9828,79.2374,54,97,4.09,RU
kangaatsiaq,40.87,68.3065,-53.4641,90,100,6.22,GL
lisakovsk,58.05,52.5369,62.4936,66,7,11.25,KZ
muborak,86.68,39.2553,65.1528,18,0,9.91,UZ
atambua,80.82,-9.1061,124.8925,43,95,1.57,ID
salem,79.0,11.65,78.1667,83,40,0.0,IN
shingu,92.39,33.7333,135.9833,53,8,12.1,JP
broken hill,55.11,-31.95,141.4333,50,75,9.22,AU
muzhi,60.19,65.3667,64.6667,78,100,12.33,RU
chachapoyas,53.82,-6.2317,-77.869,91,70,2.89,PE
tilichiki,58.95,60.4667,166.1,47,37,10.74,RU
hervey bay,69.91,-25.2986,152.8535,50,0,6.2,AU
abbeville,62.56,50.1,1.8333,91,42,15.28,FR
inirida,72.12,3.8653,-67.9239,96,83,1.28,CO
inhambane,66.06,-23.865,35.3833,85,23,5.68,MZ
lexington,74.95,37.9887,-84.4777,74,1,4.61,US
abu road,79.38,24.4833,72.7833,84,48,6.51,IN
ust-kuyga,74.1,70.0167,135.6,31,64,3.31,RU
ulladulla,59.9,-35.35,150.4667,48,52,7.45,AU
marondera,44.29,-18.1853,31.5519,72,0,3.94,ZW
itoman,82.78,26.1247,127.6694,96,75,24.16,JP
xanxere,62.6,-26.8769,-52.4042,66,95,4.25,BR
upington,50.38,-28.4478,21.2561,22,0,6.91,ZA
keita,78.6,14.7551,5.7749,68,100,15.77,NE
bojnurd,64.35,37.4747,57.329,25,0,0.0,IR
lithakia,67.37,37.7167,20.8333,70,0,5.55,GR
mocuba,61.75,-16.8392,36.9856,97,2,1.99,MZ
loreto,69.4,22.2667,-101.9667,49,60,16.8,MX
cabedelo,72.27,-6.9811,-34.8339,82,82,18.81,BR
uthal,81.09,25.8072,66.6219,75,79,5.48,PK
fairbanks,62.56,64.8378,-147.7164,83,90,3.44,US
regina,86.0,50.4501,-104.6178,43,75,4.61,CA
charters towers,73.85,-20.1,146.2667,31,0,9.98,AU
amapa,73.54,1.0,-52.0,87,56,3.83,BR
verkhnevilyuysk,70.95,63.4453,120.3167,54,100,10.22,RU
udalguri,82.18,26.7667,92.1333,87,93,6.24,IN
baykit,69.57,61.67,96.37,41,41,3.09,RU
